cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
transferase activity, transferring one-carbon groups	0	0	0	2.15067464743513	0	0	0	0	0	0	0	0	0	0	0	0	2.21403835378671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfur compound binding	0	0	0	2.08177590751266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82624484902578	0	0	0	0	0
amino acid transmembrane transporter activity	0	0	0	1.93786666997423	0	0	0	0	0	0	2.94814122295823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
growth factor receptor binding	0	0	0	1.92639312187189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
RAGE receptor binding	0	0	0	1.91843040586641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
chloride channel activity	0	0	0	1.87679014575606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0
phospholipase inhibitor activity	0	0	0	1.87679014575606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sodium:amino acid symporter activity	0	0	0	1.87679014575606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
histone deacetylase activity (H3-K14 specific)	0	0	0	1.87679014575606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-dependent histone deacetylase activity (H3-K14 specific)	0	0	0	1.87679014575606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-phosphatidylinositol-3-kinase activity	0	0	0	1.80369077703487	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
dioxygenase activity	0	0	0	1.75566914107358	0	0	0	3.14364867418501	1.63882694418825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66495253987655	0	0	0	0	0	0	0
oxidoreductase activity, acting on the aldehyde or oxo group of donors	0	0	0	1.73452700395586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chloride transmembrane transporter activity	0	0	0	1.73452700395586	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0
anion channel activity	0	0	0	1.72414063210052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0
hydrolase activity, hydrolyzing O-glycosyl compounds	0	0	0	1.71387461895872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
solute:sodium symporter activity	0	0	0	1.68313434087545	0	0	0	0	0	0	3.44890041921405	0	0	2.46765859938211	0	0	0	0	0	0	0	0	0	0	2.11834809417507	2.45019673463795	0	2.81548733096475	0	2.62141530598337	0	0
NAD-dependent histone deacetylase activity	0	0	0	1.68313434087545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAD-dependent protein deacetylase activity	0	0	0	1.68313434087545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylinositol kinase activity	0	0	0	1.6581767314866	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
lipase inhibitor activity	0	0	0	1.64847368817179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transferase activity, transferring pentosyl groups	0	0	0	1.64624148991448	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71643718094357	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alkali metal ion binding	0	0	0	1.61080709916059	2.81769801491929	0	0	0	0	0	0	0	0	0	0	0	0	2.15944223952452	0	0	0	0	1.73548687050911	0	0	0	0	0	0	0	0	0
Ras guanyl-nucleotide exchange factor activity	0	0	0	1.59569777705912	1.65263907234995	0	0	0	0	0	3.32902809406658	0	0	0	0	0	0	0	0	0	2.84915506705469	0	0	0	0	0	4	0	0	3.02416877611466	0	0
oxidoreductase activity, acting on the CH-NH2 group of donors	0	0	0	1.58109640263998	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33611286455846	0	0	0	0	0	0	0	2.19255051418456	0	0	0	0	0	0
oxidoreductase activity, acting on the CH-CH group of donors	0	0	0	1.56388184214304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1.65307400738895	0	0	0	0	0	0	0	0
cyclase activity	0	0	0	1.54813419455594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
threonine-type endopeptidase activity	0	0	0	1.51721018348267	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
threonine-type peptidase activity	0	0	0	1.51721018348267	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein tyrosine kinase activity	0	0	0	1.51318798845764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62570515663431	0	0	4	0	0	0	0	0
electron carrier activity	0	0	0	1.51318798845764	0	0	0	0	0	0	0	0	0	4	0	0	0	2.42233970366723	2.15812266359947	0	0	0	0	0	0	0	0	0	0	0	0	0
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	0	0	0	1.51318798845764	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42233970366723	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13410996682228
carboxylic acid transmembrane transporter activity	0	0	0	1.51318798845764	0	0	0	0	0	0	2.5042081248883	2.1269532519611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylinositol-4,5-bisphosphate 3-kinase activity	0	0	0	1.51238588799542	0	0	0	0	0	0	0	0	0	0	0	3.00847588726524	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
organic acid:sodium symporter activity	0	0	0	1.51238588799542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
organic acid transmembrane transporter activity	0	0	0	1.49424851073059	0	0	0	0	0	0	2.47854938396354	2.11930810804564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sodium ion binding	0	0	0	0	3.09798103345592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80880557567114	0	0	0	0	0	0	0	0	0
hormone binding	0	0	0	0	3.00104414307685	0	0	0	0	0	0	0	0	2.25455611908329	0	0	3.30646179053376	0	2.56924097456033	0	0	0	0	1.58933758520738	0	0	0	0	0	0	0	0
thioesterase binding	0	0	0	0	2.99194569208582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53188405506764	0	0
glutamate receptor binding	0	0	0	0	2.41931659577713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91231461236757	0	0
phosphatidylinositol 3-kinase binding	0	0	0	0	2.41931659577713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46605910319026	0	0	0	0	0
actin filament binding	0	0	0	0	2.37268533561598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02583356428287	0	0	0	0	2.08446890397469
calcium-dependent protein binding	0	0	0	0	1.9014377954255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57443678464315	0	0	0	2.85098349130695
syntaxin binding	0	0	0	0	1.65263907234995	0	0	0	0	0	1.86740298742464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peptide binding	0	0	0	0	0	4	0	0	0	0	4	0	0	4	0	0	0	0	2.59808873653439	0	2.83536705375096	1.98049579295627	0	0	0	0	0	1.83317485361458	0	0	0	0
amide binding	0	0	0	0	0	4	0	0	0	0	3.97487021257313	0	0	4	0	0	2.0985596377775	0	4	0	2.72355742357847	1.98049579295627	0	2.77688419682453	0	0	0	1.72983233013009	0	0	0	0
protein-hormone receptor activity	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3.73839970191039	0	0	0	0	0	0	0	0	0	0	0	0	0
protein kinase C binding	0	0	0	0	0	3.31390053761469	2.08356724263885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.16086660933202	0	0	0	0	1.87667968237477	0	0	0	0	0
toxic substance binding	0	0	0	0	0	2.04067894832671	0	0	0	0	3.41365674291388	0	0	1.82329734487594	0	0	0	0	0	0	1.65819829996121	0	0	0	0	0	0	0	0	0	2.28575753866154	0
fatty acid binding	0	0	0	0	0	1.76123639970017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07270860986455	0	2.53808262002913	0	0	0	0	0	2.02295666135422	0
phosphotransferase activity, nitrogenous group as acceptor	0	0	0	0	0	0	2.1210092423249	0	0	1.8600017869731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA binding, bending	0	0	0	0	0	0	2.1210092423249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71712583362651	0	0	0	0	0	0	0	0	0	0
DNA-dependent ATPase activity	0	0	0	0	0	0	2.06147516375337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94313354585649	0	0	0	0	0	0	0	0	0	0
histone deacetylase binding	0	0	0	0	0	0	2.06147516375337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91918565866108	0	0	0	0	0	0	0	0	0	0
ubiquitin binding	0	0	0	0	0	0	2.06147516375337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ubiquitin-like protein binding	0	0	0	0	0	0	2.06147516375337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isomerase activity	0	0	0	0	0	0	2.06147516375337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
protein C-terminus binding	0	0	0	0	0	0	2.03660509795173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16256276998981	0	0	0	0	3.28735925091217	0	0	0	0	0
magnesium ion binding	0	0	0	0	0	0	2.03660509795173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peroxidase activity	0	0	0	0	0	0	0	3.8303503496391	2.1162896884582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18875664906496	0	0	0	0	0	1.79718603113602	0
oxidoreductase activity, acting on peroxide as acceptor	0	0	0	0	0	0	0	3.8303503496391	2.09784336305868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16165830848991	0	0	0	0	0	1.79718603113602	0
antioxidant activity	0	0	0	0	0	0	0	3.25237449174685	1.72927755092037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76650373981184	0	0	0	0	0	3.08827097047218	0
monocarboxylic acid binding	0	0	0	0	0	0	0	2.28020261090574	0	0	0	0	0	0	0	0	2.21403835378671	0	0	0	0	0	4	0	2.09466569897956	0	0	0	0	0	1.7814441791871	0
carbonate dehydratase activity	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2.58186038678433	0	0
hydro-lyase activity	0	0	0	0	0	0	0	0	4	0	0	0	0	3.91083025533363	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1.55833594618486	0	0
carbon-oxygen lyase activity	0	0	0	0	0	0	0	0	4	0	0	0	0	3.51931727473341	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
anion:cation symporter activity	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
inorganic anion transmembrane transporter activity	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	4	0
anion transmembrane transporter activity	0	0	0	0	0	0	0	0	4	0	0	2.38040060807349	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	4	0
symporter activity	0	0	0	0	0	0	0	0	4	0	2.28523071720276	0	0	0	0	0	0	0	0	1.75426950527769	0	0	0	0	0	0	0	1.69039814618745	0	0	2.62430395268994	0
secondary active transmembrane transporter activity	0	0	0	0	0	0	0	0	3.80782393319584	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
prostaglandin receptor activity	0	0	0	0	0	0	0	0	3.28662295849843	0	0	0	4	0	0	0	1.53666273299832	0	0	0	0	0	1.80880557567114	0	0	0	0	0	0	0	0	0
prostanoid receptor activity	0	0	0	0	0	0	0	0	3.22622778642026	0	0	0	4	0	0	0	1.53666273299832	0	0	0	0	0	1.80880557567114	0	0	0	0	0	0	0	0	0
carboxylic ester hydrolase activity	0	0	0	0	0	0	0	0	2.25522973987415	0	0	1.97480359055584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adenylate cyclase binding	0	0	0	0	0	0	0	0	0	1.8600017869731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G-protein coupled receptor binding	0	0	0	0	0	0	0	0	0	1.83460136361189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7569451027986	0	2.39541407422292	0	0	0	0
neurotransmitter binding	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3.48125924237252	0	0
basic amino acid transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetylcholine binding	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
neuropeptide binding	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	1.7869329001038	0	0	0	0	0	0	0	0	3.85114797364651	0	0	0	0
serine hydrolase activity	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ammonium ion binding	0	0	0	0	0	0	0	0	0	0	3.5646193107446	0	0	4	0	2.12179532576108	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
serine-type peptidase activity	0	0	0	0	0	0	0	0	0	0	3.27529157099238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
antiporter activity	0	0	0	0	0	0	0	0	0	0	2.87514268544917	0	0	0	0	0	0	0	0	2.12753061117726	0	0	0	0	0	0	0	0	0	0	4	0
guanyl-nucleotide exchange factor activity	0	0	0	0	0	0	0	0	0	0	2.80827960808744	0	0	0	0	0	0	0	0	0	2.44846487079797	0	0	0	0	0	4	0	0	2.42552577182761	0	0
metallopeptidase activity	0	0	0	0	0	0	0	0	0	0	2.78732702036177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
serine-type endopeptidase activity	0	0	0	0	0	0	0	0	0	0	2.60883033263608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
exopeptidase activity	0	0	0	0	0	0	0	0	0	0	2.59241814663078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-amyloid binding	0	0	0	0	0	0	0	0	0	0	2.54077188523675	0	0	0	0	2.2974566088705	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
aminopeptidase activity	0	0	0	0	0	0	0	0	0	0	2.31697510508983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
endopeptidase activity	0	0	0	0	0	0	0	0	0	0	2.25717632889919	3.56770952780206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metalloexopeptidase activity	0	0	0	0	0	0	0	0	0	0	2.08940329760025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
collagen binding	0	0	0	0	0	0	0	0	0	0	2.05486059033865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65316043279331	0	0	0	0	0
virus receptor activity	0	0	0	0	0	0	0	0	0	0	2.02220019518434	0	0	0	0	0	0	0	0	0	0	0	0	1.55917524756959	0	0	0	0	0	0	0	0
flavin adenine dinucleotide binding	0	0	0	0	0	0	0	0	0	0	1.91851136863402	0	0	0	0	0	0	2.58170684274369	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bile acid transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sodium-independent organic anion transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	3.70384113634714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
monocarboxylic acid transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	3.26264943856275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADPH binding	0	0	0	0	0	0	0	0	0	0	0	2.512723241457	0	0	0	0	0	0	1.93511365523313	0	0	0	0	0	0	0	0	0	0	0	0	0
organic anion transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	2.38040060807349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
triglyceride lipase activity	0	0	0	0	0	0	0	0	0	0	0	2.29927419639845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lipid transporter activity	0	0	0	0	0	0	0	0	0	0	0	2.14535350534929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxidoreductase activity, acting on CH-OH group of donors	0	0	0	0	0	0	0	0	0	0	0	1.99634560006053	0	0	0	0	0	3.33611286455846	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98760548763328
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	0	0	0	0	0	0	0	0	0	0	0	1.97480359055584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
deacetylase activity	0	0	0	0	0	0	0	0	0	0	0	1.77877886560144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coenzyme binding	0	0	0	0	0	0	0	0	0	0	0	1.77877886560144	0	0	0	0	0	2.2459842646317	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetylcholine-activated cation-selective channel activity	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
superoxide-generating NADPH oxidase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxidoreductase activity, acting on NAD(P)H	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neuropeptide receptor activity	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1.82193470296992	0	0	0	0	0	0	0	0
peptide hormone binding	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73003887326413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ras GTPase binding	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98955358731992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
small GTPase binding	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93051142302521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTPase binding	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85181869224707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3 domain binding	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8346621707507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rab GTPase binding	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79227580015909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-directed DNA polymerase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purinergic receptor activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxidoreductase activity, acting on CH or CH2 groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2.25373669951379	0	1.66022965703494	0	0	0	0	0	0	0	0	0	0	0	0
nucleotidyltransferase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nucleobase-containing compound kinase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24560712875768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nucleoside kinase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82829924488784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
exonuclease activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82829924488784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4 iron, 4 sulfur cluster binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0475015055823	0	0	2.00324936667963	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3'-5' exonuclease activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93222026230396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuclease activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8051945754403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iron-sulfur cluster binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8051945754403	0	0	2.69655407346438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metal cluster binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8051945754403	0	0	2.69655407346438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
calcium-release channel activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligand-gated calcium channel activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
intracellular ligand-gated ion channel activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2.41980472379666	0	0	0	0	0	0	0
inositol 1,4,5 trisphosphate binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylinositol phosphate kinase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylinositol 3-kinase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
insulin receptor substrate binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09811974370532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
guanyl ribonucleotide binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09811974370532	0	0	0	0	0	0	0	2.0127418368741	0	0	0	0	0	0	0	0
guanyl nucleotide binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09811974370532	0	0	0	0	0	0	0	2.0127418368741	0	0	0	0	0	0	0	0
phosphatidylinositol bisphosphate kinase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96385997327734	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
alcohol binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84607709235219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylinositol binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.569306943899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phospholipid binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92116312387939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
heat shock protein binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63276615565937	0	0	0	0	0	0	0	0	0	0	2.40742112896739	0	0	0	0	0
modified amino acid binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0985596377775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vitamin binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95985623979576	0	0	0	0	0	2.18802027130958	0	0	0	0	0	0	0	0	0
chromatin DNA binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82027165118403	0	0	0	0	0	2.04269435096729	0	0	0	0	0	0	0	0	0
structure-specific DNA binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57036093984782	0	0	0	0	0	1.80880557567114	0	0	0	0	0	0	0	0	0
chromatin binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53666273299832	0	0	0	0	0	1.80880557567114	0	0	0	0	0	0	0	0	0
type 1 angiotensin receptor binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53666273299832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
long-chain fatty acid binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53666273299832	0	0	0	0	0	3.76808675928756	0	0	0	0	0	0	0	0	0
mRNA binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53666273299832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
angiotensin receptor binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53666273299832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATPase-coupled anion transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53666273299832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33611286455846	0	0	0	0	0	0	0	2.37506814660745	0	0	0	0	0	0
structural constituent of cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42233970366723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
potassium ion binding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21470270078461	0	0	0	0	1.78705284155046	0	0	0	0	0	0	0	0	0
GTPase activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15944223952452	0	0	0	0	0	0	0	0	0	0	0	0	0	0
