cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
Folate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65349043564283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drug metabolism - other enzymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2.04961555270863	0	0	0	0	0	0	0	0	0	0	0	0
Histidine metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53239195683903	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tryptophan metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33125325465216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathogenic Escherichia coli infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21309148402176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drug metabolism - cytochrome P450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08764755065569	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81646671292223
Steroid hormone biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74451455184577	0	0	0	0	0	0	0	4	0	0	0	0	0
Peroxisome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45613046422791	0	0	0	0	0	0	0	0	0	0	0	0
Fatty acid degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04961555270863	0	0	0	0	0	0	0	0	0	0	0	2.27878465239861
Fatty acid metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04961555270863	0	0	0	0	0	0	0	0	0	0	0	0
Th17 cell differentiation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58148059325226	3.90560678804861	0	0	0	1.89193919499954	0	0	0	0	2.13478258089775
Necroptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46567443565285	0	0	0	0	0	0	0	0	0	1.61101488126484
Protein processing in endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46567443565285	0	0	0	0	0	0	0	0	0	0
Thyroid cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0
Transcriptional misregulation in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1.90490988576287	0	0	0	0	0
Endocrine and other factor-regulated calcium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97510366154208	0	0	0	0	0	0	0	0	0
Mineral absorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94656328702892	0	0	0	0	0	0	0	0	0
Renin-angiotensin system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5119824088042	0	0	0	0	0	0	0
PI3K-Akt signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Bladder cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Adherens junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
MicroRNAs in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Axon guidance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Melanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61963429180925	0	0	0	0	0
Prion diseases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09561447838689	0	0	0	0	0
Viral myocarditis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47821675460753	0	0	0	0	0
mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16826617625126	0	0	0	0	0
Rheumatoid arthritis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04512021940536	0	0	0	0	0
Th1 and Th2 cell differentiation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02552818013826	0	0	0	0	0
Influenza A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98780763648338	0	0	0	0	0
Hematopoietic cell lineage	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97609384734684	0	0	0	0	0
Tuberculosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95592481383961	0	0	0	0	0
Allograft rejection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3992918895577
Graft-versus-host disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3272702850127
Type I diabetes mellitus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2832822596776
Retinol metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86976132402164
Inflammatory bowel disease (IBD)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86976132402164
Glycolysis / Gluconeogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84545490821438
Metabolism of xenobiotics by cytochrome P450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7610166846491
Antigen processing and presentation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72461579600719
Chemical carcinogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66057697634577
African trypanosomiasis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51267714804647
