cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
response to transition metal nanoparticle	0	2.28401927649523	0	3.05953085044799	0	0	0	1.57055703965001	0	0	1.99761484078535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76330721881189	0	4	0	0
response to radiation	0	2.26892036411989	0	0	0	0	0	0	0	0	2.49139182018477	0	0	2.43908902945936	0	2.58000137165969	0	0	0	0	0	0	0	0	0	0	1.98861693755848	3.63710439355239	0	0	0	0
import into cell	0	2.26062763483278	4	0	4	0	0	0	0	0	2.7471241063348	0	0	1.87532938835897	0	0	0	0	0	0	0	0	0	1.69292489024691	0	4	0	4	0	4	0	0
response to axon injury	0	2.24582358760563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70510579925299	0	0	3.93738957946454	1.63228177566557	0	0	0	0
cellular response to fluid shear stress	0	2.20478786788982	0	0	0	0	0	0	2.21546680935825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to osmotic stress	0	2.17420743838555	0	0	0	0	0	0	2.36947556077099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of response to food	0	2.16593810377187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA-templated transcription, initiation	0	2.14581590285024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of sequence-specific DNA binding transcription factor activity	0	2.14581590285024	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2.07538743310902	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to drug	0	2.13016947168935	2.27984231148419	0	2.9790687189262	0	2.76144166012157	0	0	3.29333667833015	0	0	2.13731389920767	0	0	2.51522699253617	0	0	0	0	0	0	0	2.61654384131481	0	0	1.7036414216672	0	0	0	0	1.57000645865543
tetrahydrofolate metabolic process	0	2.12883305959861	0	2.28563620818325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of defense response	0	2.09710864922163	0	0	0	0	0	0	0	0	1.86265173351303	0	1.69357091711368	2.16375133542779	0	0	0	0	0	0	0	0	2.73459097255108	0	0	0	0	0	0	0	0	0
regulation of receptor biosynthetic process	0	2.09113277879821	0	0	0	0	0	0	2.13284538952348	0	0	2.52955713786958	0	0	0	0	1.67914055218169	0	0	0	0	0	2.95075099131776	0	0	0	0	0	0	0	0	0
vitamin D metabolic process	0	2.09113277879821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34903433119534
myeloid leukocyte migration	0	2.02697558544753	0	0	0	0	0	0	0	0	0	0	3.9850811992709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to immobilization stress	0	2.02427010866197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71811317083225	0	0	0
cell maturation	0	2.02384054737451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76498357445446	0	0	0	0	0	0	1.83598581612761	2.8481875410568	0	0	0	0	0	0	0
secretion by tissue	0	2.02203614525967	0	0	0	0	0	0	0	0	4	0	0	1.71823858001965	0	0	0	2.36311035501936	0	0	0	0	2.11777179022943	0	0	0	3.636920808126	0	0	0	0	0
cellular response to external stimulus	0	1.98407020995526	0	0	0	1.74567222455132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20368336108831	2.02416116961079	3.02594162991881	0	0	0	0	0	0	0
cellular response to acid chemical	0	1.96774189857134	0	0	0	0	0	0	0	0	1.75707764419021	0	0	2.05392582616463	0	0	1.78370260291363	0	0	0	0	0	2.65474623061069	0	0	0	4	0	0	0	0	0
detection of mechanical stimulus involved in sensory perception	0	1.96774189857134	2.09472354741398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92864722256295	3.77449638131794	3.73485715255955	0	3.38859335108354	0	0
ventricular cardiac muscle cell action potential	0	1.96774189857134	0	0	0	0	2.87110871776645	0	0	2.10431409744646	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2.30712188434035	0	0	0	0
regeneration	0	1.96383603344517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
platelet activation	0	1.95501477236124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76931581763263	4	1.63228177566557	0	0	0	0
positive regulation of response to external stimulus	0	1.94774769569465	0	0	0	0	0	0	0	0	0	0	0	3.1858123084591	1.61469434472223	0	0	0	0	0	0	0	0	1.9897142158682	1.57284988811855	0	4	0	0	0	0	0
positive regulation of NF-kappaB import into nucleus	0	1.94383145508039	0	0	0	0	0	0	0	0	0	0	0	0	2.29690890572777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to oxidative stress	0	1.9421975943759	0	2.65307141000046	0	0	0	3.3467246640719	0	0	0	0	0	0	1.90453104513708	0	0	0	0	0	1.77999407873715	0	0	0	0	0	2.78895091197819	0	0	0	0	0
regulation of fibroblast proliferation	0	1.92719989304917	0	0	0	0	0	1.80631053121223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
body fluid secretion	0	1.91919822204029	4	0	0	0	0	0	0	0	0	0	0	1.64158571989828	0	0	0	2.27159395262341	0	1.93995023699075	0	0	2.04173184584362	0	0	0	3.48656298094743	0	0	0	0	0
fibroblast proliferation	0	1.91919822204029	0	0	0	0	0	1.80584765088985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
positive regulation of cell migration	0	1.89763315416154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
cell volume homeostasis	0	1.86561934480177	0	0	0	0	0	0	3.15668964330898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neurotransmitter metabolic process	0	1.86561934480177	0	0	0	0	0	0	0	0	3.55629230846286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99247094037157	0	0	0	0	0	0
regulation of morphogenesis of an epithelium	0	1.856020289009	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34672419021275	0	0	0	0	0
regulation of ossification	0	1.84340845573899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
steroid hormone mediated signaling pathway	0	1.84340845573899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65586282101099	0	0	0	0	0	0	0	1.90482441838994	0	0	0	0	0	0	0
specification of animal organ identity	0	1.84340845573899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of translation	0	1.79704651508578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axis elongation	0	1.79704651508578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
monocyte differentiation	0	1.79704651508578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mononuclear cell differentiation	0	1.79704651508578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
angiogenesis	0	1.79612975392486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
positive regulation of locomotion	0	1.79612975392486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
behavioral defense response	0	1.77620819381476	4	0	3.80807904339608	0	0	0	0	2.02878330180832	3.40529907582702	0	0	0	0	0	0	0	0	0	0	0	0	3.25468651219113	0	4	0	4	0	4	0	0
regulation of glycolytic process	0	1.77620819381476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of circadian rhythm	0	1.7572171096289	2.75342086131557	0	0	0	2.73362826300847	0	2.11049578820205	0	0	0	0	3.63632853074164	0	0	0	0	0	0	0	0	1.94535136954563	0	0	1.62512976700242	0	2.14125561183113	0	1.84148916518779	0	0
positive regulation of epidermal growth factor receptor signaling pathway	0	1.75353562355299	0	0	0	0	0	0	0	0	3.37640591984131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of extrinsic apoptotic signaling pathway	0	1.73807751367071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of innate immune response	0	1.73426938279965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
one-carbon metabolic process	0	1.71441387904925	0	1.71378012065545	0	0	0	0	4	0	0	0	0	3.5949099938824	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	1.79698318652759	0	1.98960738326921
regulation of response to reactive oxygen species	0	1.71441387904925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ovulation cycle	0	1.71121216251886	0	0	0	0	0	0	0	0	3.12479379860022	0	0	0	0	0	0	0	1.64791251492436	0	0	0	0	0	0	0	4	0	0	0	0	0
positive regulation of endocytosis	0	1.70119564873993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90682979082044	0	0	0	0	0	0	0	0	0
cellular hormone metabolic process	0	1.68341600074711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
mating	0	1.67545108022175	4	0	3.66236708071596	0	0	0	0	0	2.03094239591747	0	0	0	0	0	4	0	0	0	0	0	0	2.01064018412294	0	3.91564639618109	0	3.20855326791674	0	2.88378584888374	0	0
interleukin-6 production	0	1.67499913198431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
modification of morphology or physiology of other organism	0	1.67499913198431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axon regeneration	0	1.6587926963507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of interleukin-6 production	0	1.6587926963507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of phospholipid metabolic process	0	1.64045021448882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of cellular amide metabolic process	0	1.64045021448882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lactation	0	1.60653160282665	1.7042565379846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80216417353069	0	0	0	0	2.5374750073554	0	0	0	4	0	0	0	0	0
positive regulation of angiogenesis	0	1.57303522530879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
epithelium migration	0	1.55155831331658	0	1.8271359086405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
negative regulation of DNA binding	0	1.54019601235873	0	0	0	0	0	0	1.66691530978923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
icosanoid biosynthetic process	0	1.54019601235873	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38642649027203	0	0	0
cell growth	0	1.53641319435486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79152633372944	0	0	0	0	0	1.67961462207413	0	0	0	2.35329840388404	0	0	0	0	0
epidermal growth factor receptor signaling pathway	0	1.53282090198202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blood circulation	0	0	4	0	4	0	0	2.16993375608436	2.5055109857488	0	4	3.78397454362373	1.66959569039667	2.22898669371141	2.22786978281738	4	4	2.83348130270915	0	0	0	0	2.37815948283585	4	0	4	0	4	0	0	0	0
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0
regulation of blood circulation	0	0	4	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
muscle contraction	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0
calcium ion transmembrane transport	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyclic nucleotide metabolic process	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0
cellular calcium ion homeostasis	0	0	4	0	0	0	0	0	0	0	4	0	0	2.63612796844833	0	4	0	0	0	0	1.80036560114663	0	0	0	3.19456087734994	4	0	4	0	4	0	0
regulation of hormone secretion	0	0	4	0	4	0	0	0	0	0	0	0	0	0	1.65935690312003	2.74522563204689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of transporter activity	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83398942756536	0	0	0	0	0	0	4
sequestering of metal ion	0	0	4	0	4	0	0	0	0	0	1.97497328204876	0	0	0	0	3.84835183726057	0	0	0	0	0	0	0	2.83242998417206	0	4	2.06976474157076	4	0	4	0	1.96000931901621
neurotransmitter reuptake	0	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0
acetylcholine receptor signaling pathway	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2.60505783060768	0	0	0	0	4	0	4	0	4	0	0
response to acetylcholine	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2.60505783060768	0	0	0	0	4	0	4	0	4	0	0
cellular response to acetylcholine	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2.60505783060768	0	0	0	0	4	0	4	0	4	0	0
transmission of nerve impulse	0	0	4	0	4	0	0	0	0	0	1.61414694774622	0	0	0	0	0	0	0	0	0	1.68591614765791	0	0	2.61654384131481	0	4	0	4	0	4	0	0
cellular response to ammonium ion	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2.47552535051838	0	0	0	0	4	0	4	0	4	0	0
response to ammonium ion	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2.44724210637232	0	0	0	0	4	0	4	0	4	0	0
cognition	0	0	4	0	4	0	0	0	0	0	0	0	0	4	0	1.98709322924673	0	0	0	0	0	0	0	2.07737430944294	0	4	3.61100993136114	4	0	0	0	0
learning or memory	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3.88895918417107	4	0	4	0	0
cardiac muscle cell action potential involved in contraction	0	0	4	4	0	0	2.87110871776645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
reflex	0	0	4	0	4	0	0	0	0	2.17003596549334	2.4570202825936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06848896352663	0	2.43868790853014	0	4	0	0
receptor metabolic process	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84252609977361	0	2.48082898687178	0	2.91766371058379	0	0
activation of phospholipase C activity	0	0	4	0	4	3.15128585876466	0	0	0	2.09684884887375	2.30658779614685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12676205570832	0	3.6833878309996	1.7079622036046	3.3433340077188	0	0
regulation of phospholipid biosynthetic process	0	0	4	0	3.25451362740694	0	0	0	0	0	2.96320409016387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0
positive regulation of renal sodium excretion	0	0	4	0	3.1775688959642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52259045269592	0	2.89455616669998	0	2.65281127798759	0	0
negative regulation of developmental growth	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neuromuscular junction development	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
alkaloid metabolic process	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
drug catabolic process	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxidative demethylation	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of growth	0	0	3.90295465378989	0	0	0	0	0	0	3.7391925648456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69705547833258	0	0	1.96064158349579	0	0	0	0
actin-mediated cell contraction	0	0	3.88750160516488	2.86524286365988	4	0	2.73509718389026	0	0	0	0	0	1.93768427454117	0	0	0	0	0	0	0	0	0	0	3.19107813370781	0	3.440481877384	0	0	0	0	0	4
regulation of circadian sleep/wake cycle, sleep	0	0	3.71164123895542	0	2.76776934298716	0	0	0	0	0	2.49139182018477	0	0	4	2.47983688315674	0	0	0	0	0	0	0	0	0	0	2.10119978830466	0	2.47504244453551	0	2.24282949059671	0	0
positive regulation of neuroblast proliferation	0	0	3.64906250761926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71811317083225	0	0	0
organonitrogen compound catabolic process	0	0	3.57171848969773	4	0	0	0	0	0	0	2.83426994649387	1.86994266420562	2.74783206248082	0	1.9768918181064	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
circadian rhythm	0	0	3.43673200892471	0	4	0	2.61140113952849	0	1.56630992979294	0	0	0	0	0	1.86436991965823	1.53799651354416	1.73932995732547	0	0	0	0	0	2.50011324256779	0	0	0	0	0	0	2.53726458174973	0	0
regulation of lipid metabolic process	0	0	3.43673200892471	0	3.06557862849178	0	0	0	0	0	2.5376109487512	0	0	0	0	0	2.2825068367427	0	0	0	0	0	3.01013009811851	0	0	2.81959491129124	4	3.95608677668483	0	3.33581554441683	0	0
organophosphate catabolic process	0	0	3.43673200892471	0	0	0	0	0	0	0	0	0	4	0	3.26241275489846	4	0	3.36106945594587	0	0	0	0	0	2.06633779841284	0	0	0	0	1.99152633989729	0	0	4
response to hypoxia	0	0	3.41004506724789	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35685825828956	0	0	0	0
circadian sleep/wake cycle process	0	0	3.39258111354119	0	2.56772630193171	0	0	0	0	0	2.30658779614685	0	0	4	2.29690890572777	0	0	0	0	0	0	0	0	2.27647852349786	0	1.89890473432665	0	0	0	2.04304454645324	0	0
receptor-mediated endocytosis	0	0	3.34125513752493	0	0	0	0	0	0	2.19890999718235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56110425417992	0	2.30712188434035	0	1.89632465527075	0	0
response to light stimulus	0	0	3.31455705743098	0	4	0	0	0	0	0	0	2.11489084544779	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54545792065287	0	0	0	3.2090418090945	0	1.8364775087022
arachidonic acid secretion	0	0	3.21566639701039	0	2.46450757061249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50549313465897	0	3.1726108551388	0	0
arachidonate transport	0	0	3.21566639701039	0	2.46450757061249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50549313465897	0	3.1726108551388	0	0
regulation of neural precursor cell proliferation	0	0	3.21180599465088	0	1.78419328456144	0	0	0	0	0	0	0	0	1.73473709784126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular nitrogen compound catabolic process	0	0	3.20640877838589	0	0	0	0	0	0	0	0	0	2.64451191892485	0	1.83390330404812	4	0	2.05614918674051	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67247579453813
positive regulation of cell division	0	0	3.0325158639736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81856082015668	2.49564238743941	2.33344881529175	0	0	0	0
positive regulation of receptor-mediated endocytosis	0	0	2.77160481634812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
negative regulation of cardiac muscle cell proliferation	0	0	2.75342086131557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of oocyte development	0	0	2.75342086131557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75954674126872	0	0	0	0	0	2.83775996128886	0	0	0	0	0	0	0	0
adaptive thermogenesis	0	0	2.75342086131557	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8481875410568	4	0	4	0	0	0	0
calcium ion regulated exocytosis	0	0	2.74421426149153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61535844456943	0	0	0	0	0	0
carbohydrate derivative catabolic process	0	0	2.73653503959167	0	0	0	0	0	0	0	0	0	3.73860077262832	0	0	4	0	1.75116683666366	0	0	0	0	0	1.68781927582958	0	0	0	0	0	0	0	3.28493753546223
heart development	0	0	2.68533623466333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
social behavior	0	0	2.68522383795223	0	2.12496707939523	0	0	0	0	0	1.87962348643747	0	0	2.0426755823186	0	0	0	0	0	0	1.94555772926177	0	0	0	0	2.43264300903701	0	2.95856314973839	0	3.86601472760321	0	0
intraspecies interaction between organisms	0	0	2.68522383795223	0	2.12496707939523	0	0	0	0	0	1.87962348643747	0	0	2.0426755823186	0	0	0	0	0	0	1.94555772926177	0	0	0	0	2.43264300903701	0	2.95856314973839	0	3.86601472760321	0	0
endothelial cell proliferation	0	0	2.61929469014408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cerebral cortex GABAergic interneuron differentiation	0	0	2.60939659703251	0	0	0	0	0	0	0	0	0	0	2.96270480777802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of thymocyte apoptotic process	0	0	2.60939659703251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of glycolytic process	0	0	2.5457459201111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylinositol metabolic process	0	0	2.52582934416828	0	2.68265174581536	0	0	0	0	0	2.26248858361905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11526425459881	0	0	0	2.46705088510839	0	0
neuroblast proliferation	0	0	2.52511766912787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93019058351353	1.72416760333971	0	0	0	0
positive regulation of cofactor metabolic process	0	0	2.49505074293825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of coenzyme metabolic process	0	0	2.49505074293825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
epithelial cell maturation	0	0	2.44322874231074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neural precursor cell proliferation	0	0	2.41283860810025	0	2.30337669227527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91715378351061	1.87590246071815	0	1.5889070685063	0	0
lymphocyte homeostasis	0	0	2.39524843146107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
striatum development	0	0	2.39358869867881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65052229715088	0	0	0	0	0	0	0	0	0	0	0	0	0	0
detection of external stimulus	0	0	2.38184253521269	0	0	0	0	0	0	0	0	0	0	0	0	2.77166721015493	0	0	0	0	0	0	0	0	0	0	2.04677641580056	1.85178137128061	0	2.32858392029581	0	1.93743215660033
detection of abiotic stimulus	0	0	2.35121653249136	0	0	0	0	0	0	0	0	0	0	0	0	2.74522563204689	0	0	0	0	0	0	0	0	0	0	2.0230533598158	1.82952584457268	0	2.29754495547827	0	1.91837489955131
regulation of hormone biosynthetic process	0	0	2.35096730838552	0	2.8512354963302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thymocyte apoptotic process	0	0	2.35096730838552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leukocyte tethering or rolling	0	0	2.26752928206864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of bone mineralization	0	0	2.26701622068485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to organonitrogen compound	0	0	2.2657465219162	2.52307951120509	0	0	0	0	2.03166959445332	0	0	0	0	2.29817633474915	0	4	0	1.9203725426362	0	0	0	0	0	3.75479276513428	0	3.99080014549039	3.02990747623912	4	0	4	0	0
developmental maturation	0	0	2.25952443320851	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40473837363783	0	0	0	0	0	0	0	2.3662277226088	0	0	0	0	0	0	0
response to dietary excess	0	0	2.19226096877217	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41776818902506	3.34163024540701	0	3.90035123942304	0	0	0	0
mating behavior	0	0	2.19226096877217	0	2.69154191063425	1.68558214523601	0	0	0	0	0	0	0	0	0	0	2.90572166495305	0	0	0	0	0	0	2.39470992006924	0	3.34163024540701	0	2.40241088940451	0	2.16763767797951	0	0
leukocyte adhesion to vascular endothelial cell	0	0	2.19226096877217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chronic inflammatory response	0	0	2.16096465984585	0	0	0	0	0	0	0	0	0	0	0	2.36476283708521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
