cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 30	cluster 31	cluster 32
peroxisomal part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33877292427147	0	0	0	0	0	0	0	0	0	0	0
primary lysosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68144262477661	0	0	0	0	0	0	0	0	0	0	0
azurophil granule	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68144262477661	0	0	0	0	0	0	0	0	0	0	0
proton-transporting two-sector ATPase complex, catalytic domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68144262477661	0	0	0	0	0	0	0	0	0	0	0
integral component of mitochondrial outer membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64801649567364	0	0	0	0	0	0	0	0	0	0	0
intrinsic component of mitochondrial outer membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64801649567364	0	0	0	0	0	0	0	0	0	0	0
proton-transporting V-type ATPase complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64801649567364	0	0	0	0	0	0	0	0	0	0	0
neuromuscular junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28202858596547	0	0	0	0	0	0	0	0	0	0
endocytic vesicle lumen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0491065695409	0	0	0	0	0	0	0	0	0
melanosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14621149226712	0	0	0	0	0	0	0	0	0
pigment granule	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14621149226712	0	0	0	0	0	0	0	0	0
endoplasmic reticulum chaperone complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60921658004711	0	0	0	0	0	0	0	0	0
RNA polymerase II transcription factor complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73159798931159	0	2.5034736788423	0	0	0	0	0	0
nuclear chromatin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73159798931159	0	0	0	0	0	0	0	0
transcription factor complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73159798931159	0	0	0	0	0	0	0	0
nuclear transcription factor complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7077914287598	0	2.29963132696123	0	0	0	0	0	0
chromatin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2898038000828	0	0	0	0	0	0	0	0
endolysosome membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68582736963847	0	0	0	0	0	0	0
endolysosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47971179219915	0	0	0	0	0	0	0
basal plasma membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09207002650556	0	0	0	0	0	0	0
basal part of cell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81279647955223	0	0	0	0	0	0	0
brush border membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90657378735369	0	0	0	0	0	0
GABA receptor complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0
GABA-A receptor complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0
cytoplasmic side of plasma membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
cytoplasmic side of membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
extrinsic component of cytoplasmic side of plasma membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
extrinsic component of plasma membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
actin cytoskeleton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92015864941371	0	0	0	0
late endosome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.80715139146871	0	0	0	0
ruffle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41816375399048	0	0	0	0
