Drug Bank ID,inRepurposeDB,Type,Approved,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C19 substrate,CYP450 inhibitory promiscuity,Ames test,Carcinogenicity,Biodegradation,hERG inhibition (predictor I),hERG inhibition (predictor II)
3152,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
3157,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3219,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3241,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3261,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3305,Y,Small Molecule,Y,-,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3308,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3324,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3331,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3333,N,Small Molecule,Y,+,-,+,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3339,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3342,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
3345,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3348,N,Small Molecule,Y,+,-,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3365,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3373,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3380,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3385,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3386,Y,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
3397,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3406,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3410,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3440,N,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3446,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3454,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3463,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3476,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3478,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3494,Y,Small Molecule,Y,-,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
3510,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3517,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3519,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3559,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3637,Y,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3639,N,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3657,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3672,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Ready biodegradable,Weak inhibitor,Non-inhibitor
3676,N,Small Molecule,N,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3690,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Non-inhibitor
3696,Y,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3702,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3715,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3749,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3759,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3763,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3784,N,Small Molecule,Y,+,-,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3825,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
3826,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3869,N,Small Molecule,Y,+,-,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3878,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3883,N,Small Molecule,Y,+,+,+,Non-substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3899,Y,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3902,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3948,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3957,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3958,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3961,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
3964,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
3998,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
4011,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
4054,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4075,Y,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
4086,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4091,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4114,Y,Small Molecule,Y,+,+,+,Non-substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4158,Y,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4168,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
4170,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4171,N,Small Molecule,Y,+,-,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4173,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4174,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4178,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4184,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
4189,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
4192,Y,Small Molecule,Y,+,+,+,Non-substrate,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4195,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4197,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4205,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
4211,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4212,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
4236,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
4409,Y,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4436,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4440,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
4449,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
4456,N,Small Molecule,Y,-,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
4485,N,Small Molecule,Y,+,-,+,Non-substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
